suite,experiment,primitive,threads,cs_cycles,trial,ops_per_sec,mean_latency_ns,p50_ns,p95_ns,p99_ns,stddev_ns,cv_percent,throughput_ops,false_sharing_factor,fairness_gini,cpu_migrations,ctx_switches,notes
scalability,scalability,mutex,2,0,9,1800945.33,1046.91,399.00,4485.00,8144.05,10323.22,986.07,5402836,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,4,0,0,1403624.00,2793.97,1173.00,8556.00,14178.01,19143.07,685.16,4210872,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,4,0,1,1397193.00,2799.12,1218.00,8558.00,13943.05,8505.97,303.88,4191579,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,4,0,2,1413600.00,2741.02,1228.00,8516.00,13871.02,4442.88,162.09,4240800,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,4,0,3,1418025.00,2745.08,1227.00,8487.00,13740.01,4513.37,164.42,4254075,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,4,0,4,1423220.33,2710.71,1219.00,8418.00,13737.01,4376.58,161.45,4269661,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,4,0,5,1423120.33,2763.72,1218.00,8498.00,13932.01,5880.15,212.76,4269361,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,4,0,6,1429394.67,2718.41,1225.00,8453.00,13792.04,4512.92,166.01,4288184,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,4,0,7,1424358.33,2765.30,1227.00,8504.00,13734.00,6441.54,232.94,4273075,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,4,0,8,1430428.33,2713.97,1213.00,8431.05,13845.07,4978.24,183.43,4291285,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,4,0,9,1414714.67,2761.45,1229.00,8526.05,13945.04,5652.13,204.68,4244144,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,8,0,0,1341806.00,5908.09,2498.00,18330.00,29406.00,12809.32,216.81,4025418,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,8,0,1,1323400.00,5952.09,2468.00,18768.00,29960.02,10690.12,179.60,3970200,0.00,0.00,-1,-1,"os-sched"
